	LogL_21M003M	LogT_21M003M	L(sun)_21M003M	T_21M003M
1.85211006	3.67235317	71.1393774	4702.763838
1.84123442	3.67312819	69.38001989	4711.163645
1.83040312	3.6738968	67.67108192	4719.508798
1.81968797	3.67465628	66.02189264	4727.769341
1.80900591	3.6754107	64.41780316	4735.989164
1.79835339	3.67616034	62.85696245	4744.171061
1.78770232	3.67690726	61.33414563	4752.337329
1.7770157	3.6776541	59.84332284	4760.516777
1.76624758	3.678404	58.3777806	4768.743903
1.7553513	3.67916023	56.93132611	4777.054873
1.74439346	3.67992277	55.51284177	4785.449857
1.733169	3.68070127	54.09647913	4794.035769
1.72248732	3.68143929	52.78217959	4802.189458
1.71272179	3.68211126	51.60856577	4809.625484
1.70389561	3.68272058	50.57030931	4816.378178
1.69586491	3.68327371	49.64378773	4822.516364
1.68854211	3.68377572	48.81374297	4828.094034
1.68192463	3.68422709	48.0755908	4833.114567
1.67603784	3.68462721	47.42833077	4837.569417
1.67097052	3.6849736	46.87815601	4841.429365
1.66667047	3.6852662	46.41629482	4844.692311
1.66321371	3.68550013	46.04831149	4847.302577
1.66069548	3.68566938	45.78207579	4849.192
1.65924848	3.68576546	45.62979105	4850.264917
1.65906367	3.68577593	45.61037784	4850.381849
1.66051013	3.68567588	45.7625409	4849.264577
1.66403777	3.68543398	46.13576965	4846.564312
1.66961519	3.68505306	46.73208845	4842.31525
1.67673404	3.68456775	47.50442219	4836.907142
1.68486502	3.68401362	48.40219088	4830.739516
1.69381041	3.68340509	49.40949442	4823.975462
1.70349495	3.68274955	50.523677	4816.699469
1.7136311	3.68206275	51.71673511	4809.088286
1.72297477	3.68143073	52.84145531	4802.094807
1.72831174	3.68107185	53.49482117	4798.128227
1.73043882	3.68093291	53.75746985	4796.593449
1.73053525	3.68093347	53.76940739	4796.599634
1.72896007	3.68105035	53.57473974	4797.890698
1.72581361	3.68127601	53.18799387	4800.384337
1.72143777	3.68158624	52.65477605	4803.814625
1.71601073	3.68196878	52.00088441	4808.047837
1.70971788	3.68241065	51.25283347	4812.942243
1.70265849	3.68290503	50.42646102	4818.424185
1.69740214	3.68327252	49.81981838	4822.50315
1.69349062	3.68354574	49.37312544	4825.538001
1.69057059	3.68374954	49.04227294	4827.802997
1.68794972	3.68393229	48.74720503	4829.834952
1.68560967	3.68409605	48.48525343	4831.656487
1.68359776	3.68423811	48.26116041	4833.237206
1.68185578	3.68436128	48.06796984	4834.608152
1.6803567	3.68446745	47.90233681	4835.790191
1.67909536	3.6845571	47.76341384	4836.788531
1.67806822	3.68463051	47.65058316	4837.606175
1.67728174	3.68468733	47.56436904	4838.239135
1.67675835	3.68472614	47.50708136	4838.671515
1.67654081	3.68474416	47.48329082	4838.872288
1.67671085	3.684736	47.50188567	4838.781371
1.67739583	3.6846933	47.57686593	4838.305644
1.67866608	3.68461156	47.71622524	4837.395096
1.68045316	3.68449601	47.91297745	4836.108212
1.68241873	3.68437057	48.13031788	4834.71157
1.68391082	3.68428062	48.29596187	4833.71032
1.68446184	3.68425325	48.35727725	4833.405701
1.68441353	3.68426605	48.35189839	4833.548159
1.68382011	3.68431741	48.28587547	4834.119812
