LogL_07M003M	LogT_07M003M	L(sun)_07M003M	T_07M003M
3.42136356	3.5344355	2638.539256	3423.225432
3.42124163	3.53444961	2637.798579	3423.336653
3.42109855	3.53446509	2636.929689	3423.458676
3.42102683	3.53447311	2636.494259	3423.521897
3.42095333	3.53448148	2636.048097	3423.587878
3.42087959	3.53449031	2635.600553	3423.657487
3.42080877	3.53449969	2635.170803	3423.731432
3.4207719	3.53450546	2634.947096	3423.77692
3.42075585	3.53450837	2634.84972	3423.799861
3.42074142	3.53451131	2634.762175	3423.823039
3.42073514	3.53451278	2634.724076	3423.834628
3.42072997	3.53451424	2634.692711	3423.846138
3.42072551	3.5345157	2634.665654	3423.857648
3.42072406	3.53451609	2634.656858	3423.860723
1.1726403	4.42353408	14.8812804	26517.59174
1.17004891	4.42472059	14.79274974	26590.13792
1.17234752	4.42352454	14.87125155	26517.00924
1.17554615	4.42250027	14.98118441	26454.54339
1.17894431	4.4215489	15.09886528	26396.65522
1.18252475	4.42066459	15.2238589	26342.96107
1.18552491	4.41999444	15.32939129	26302.34318
1.1879181	4.4195092	15.41409744	26272.97182
1.18989165	4.41911159	15.4843026	26248.92911
1.19150677	4.41881857	15.54199518	26231.22484
1.19314594	4.41852422	15.60076662	26213.45223
1.19480558	4.4182264	15.66049842	26195.48237
1.19647707	4.41795474	15.72088787	26179.10168
1.19818178	4.41768324	15.78271739	26162.74089
1.1998966	4.41741306	15.84515894	26146.46978
1.20163716	4.41715139	15.9087904	26130.72082
1.20341462	4.41689742	15.97403457	26115.44437
1.20520274	4.4166462	16.03994002	26100.34212
1.20700391	4.41639652	16.10660136	26085.3411
1.20882444	4.41615809	16.17426074	26071.02403
1.21068094	4.41592231	16.24354964	26056.87383
1.21254673	4.41568857	16.31348433	26042.85363
1.2144246	4.41545646	16.38417583	26028.93866
1.21631676	4.41523		16.45571511	26015.36958
1.21824178	4.41501097	16.52881733	26002.25242
1.22017846	4.4147934	16.60269004	25989.22925
1.2221255	4.4145774	16.67729074	25976.3065
1.22408274	4.41436302	16.7526201	25963.48703
1.22605207	4.41415336	16.82875818	25950.95592
1.22804823	4.41395185	16.90628672	25938.91763
1.23005759	4.41375173	16.98468864	25926.9679
1.23207573	4.41355318	17.06379913	25915.11736
1.23410237	4.41335634	17.14361362	25903.37424
1.23613796	4.41316098	17.22415639	25891.72466
1.23818376	4.41297129	17.30548439	25880.41821
1.24025714	4.41278769	17.38830062	25869.47946
1.24233746	4.41260626	17.47179237	25858.67453
1.24442588	4.41242661	17.55601244	25847.98006
1.24652151	4.41224847	17.64093135	25837.37985
1.24862456	4.412072	17.72656388	25826.88329
1.25073546	4.41189721	17.81293405	25816.49087
1.25285491	4.41172893	17.90007745	25806.48946
1.25500182	4.41156544	17.98878454	25796.77644
1.2571516	4.41140442	18.0780507	25787.21374
1.25930851	4.4112451	18.1680581	25777.75549
1.2614718	4.41108774	18.25878186	25768.41701
1.26364205	4.41093219	18.35025273	25759.18926
1.26581907	4.41077831	18.44246933	25750.06383
1.26800312	4.41062652	18.53544939	25741.06552
1.27019458	4.41048092	18.62921608	25732.43711
1.27241133	4.41034018	18.72454744	25724.09946
1.27463031	4.41020243	18.82046329	25715.94155
1.27685648	4.4100668	18.91718365	25707.91173
1.27908861	4.40993314	19.014662	25700.00099
1.28132721	4.40980186	19.11292739	25692.23348
1.28357283	4.40967279	19.21201115	25684.59902
1.28582514	4.40954579	19.31190605	25677.08921
1.28805993	4.40941992	19.41153727	25669.64839
1.29027023	4.40929858	19.51058224	25662.47741
1.29248229	4.40918696	19.61021206	25655.88262
1.2947043	4.40907943	19.71080221	25649.53109
1.29693238	4.40897487	19.81218524	25643.3565
1.29916712	4.40887322	19.91439513	25637.35517
1.30140834	4.40877414	20.01743099	25631.50693
1.30365649	4.40867813	20.12132102	25625.84117
1.30591388	4.40858495	20.22618057	25620.34361
1.30817822	4.40849498	20.33191194	25615.03656
1.3104513	4.40840837	20.43860733	25609.92874
1.31273449	4.40832536	20.54634092	25605.03419
1.3150272	4.40825228	20.65509515	25600.72591
1.31733991	4.40818412	20.76538129	25596.70834
